text,label,source,subject,license,title
"This paper introduces a novel computational framework for automating Schenkerian analysis from symbolic music representations. Traditional approaches struggle to capture the multi-level hierarchical nature of Schenkerian graphs. We reconceptualize the problem as a graph-to-graph translation task, modeling musical scores as primary graphs and their corresponding Schenkerian reductions as target graphs. Our proposed model employs a hierarchical Graph Neural Network (GNN) with iterative attention mechanisms to learn the complex prolongational and contrapuntal relationships that define structural levels (foreground, middleground, background). Trained on a curated corpus of expert analyses, our system demonstrates high fidelity in identifying fundamental structures (Ursatz) and key prolongational spans. The GNN-based approach significantly outperforms previous rule-based and statistical methods, offering a scalable solution for large-scale structural analysis and providing new empirical insights into the principles of tonal coherence and hierarchical listening.",1,models/gemini-2.5-pro,Müzik,Generated,Automated Schenkerian Analysis via Hierarchical Graph Neural Networks
"The precise tuning systems, or temperaments, used in historical performance practice are often a subject of scholarly debate. This research presents a probabilistic method for identifying historical temperaments directly from polyphonic audio recordings. We formulate a Bayesian inference model where the temperament is a latent parameter set governing the fundamental frequency relationships of concurrent tones. Using a sophisticated pitch-tracking front-end, we extract partial frequencies and model their likelihood given various historical temperament specifications (e.g., Pythagorean, quarter-comma meantone, well-temperaments). A Markov Chain Monte Carlo (MCMC) algorithm is used to efficiently explore the parameter space and estimate the posterior probability distribution over a dictionary of temperaments. When applied to recordings of historically informed performances, our model correctly identifies the documented temperament with high confidence, providing an empirical tool for musicologists to verify performance practice and analyze the sonic consequences of historical tuning decisions.",1,models/gemini-2.5-pro,Müzik,Generated,Bayesian Inference of Historical Temperaments from Polyphonic Audio Recordings
"The relationship between orchestration and harmonic function remains a theoretically rich but computationally underexplored domain. We propose a deep learning model to quantify this relationship by mapping instrument combinations to a structured latent space. A β-Variational Autoencoder (β-VAE) is trained on a large dataset of orchestral excerpts, learning a continuous, low-dimensional embedding from spectro-temporal audio features. Our results demonstrate that this learned timbral latent space is highly organized: distinct clusters emerge corresponding to specific harmonic functions (e.g., tonic, dominant preparations). Furthermore, geodesic paths between points in the manifold correspond to perceptually smooth timbral interpolations. This geometric representation allows for a quantitative analysis of orchestrational conventions, providing a novel empirical framework for theories of instrumentation and enabling generative applications such as timbre-aware harmonization and automatic orchestration based on harmonic context.",1,models/gemini-2.5-pro,Müzik,Generated,The Timbral Latent Space: A Variational Autoencoder for Probing Orchestrational-Harmonic Covariance
"The concept of metric dissonance, encompassing both grouping and displacement dissonance, provides a theoretical framework for rhythmic complexity but lacks robust quantitative models. This study introduces a data-driven method for decomposing and quantifying metric dissonance from musical onsets. We represent rhythmic passages as high-resolution inter-onset interval (IOI) histograms, capturing the periodicities present in the signal. We then apply a constrained Non-Negative Matrix Factorization (NMF) algorithm to these histograms. The NMF decomposes the complex IOI distribution into a set of basis vectors, or 'rhythmic prototypes,' and their corresponding temporal activations. Our findings show a strong correspondence between these learned prototypes and the constituent pulse streams that create metric dissonance (e.g., 3-against-2). This unsupervised decomposition provides a granular, quantitative measure of dissonance types and their evolution, offering a powerful analytical tool for complex polyrhythms in diverse musical idioms.",1,models/gemini-2.5-pro,Müzik,Generated,Decomposition of Metric Dissonance using Constrained Non-Negative Matrix Factorization on Inter-Onset Interval Histograms
"Neo-Riemannian theory offers a powerful group-theoretic model for understanding chromatic harmony, yet its standard operators (P, L, R) are limited in scope. We propose a generalized geometric framework that measures the distance between any two chords based on the principle of optimal transport. Chords are represented as probability distributions on a continuous toroidal Tonnetz manifold. The Wasserstein distance, a metric from optimal transport theory, is then computed between these distributions, quantifying the minimal 'work' required to transform one chord into another. This metric intrinsically models parsimonious voice-leading for transformations of any complexity, subsuming canonical Neo-Riemannian operations as special cases. Empirical evaluation against datasets of Western tonal music demonstrates that the Wasserstein distance correlates more strongly with established principles of harmonic syntax and perceptual smoothness than traditional voice-leading distance metrics, offering a more nuanced and extensible model for harmonic analysis.",1,models/gemini-2.5-pro,Müzik,Generated,A Geometric Framework for Neo-Riemannian Analysis using Optimal Transport on the Tonnetz
"The analysis of music featuring indeterminacy, particularly that of composers like Witold Lutosławski, presents a significant challenge due to the semantic gap between the graphical score and its sonic realization. This paper introduces a cross-modal deep learning architecture to align these two domains. We employ a convolutional neural network (CNN) to extract geometric features from scanned images of Lutosławski's 'aleatoric counterpoint' sections, coupled with a recurrent neural network (RNN) processing spectro-temporal features from corresponding audio performances. An attention-based alignment mechanism learns the correspondence between specific graphical gestures and resultant sonic textures across multiple interpretations. Our model successfully identifies consistent performance strategies associated with notational elements, revealing latent performance conventions. This methodology provides the first scalable computational tool for the systematic analysis of the graphical score-performance relationship in aleatoric music, bridging the domains of optical music recognition and performance analysis.",1,models/gemini-2.5-pro,Müzik,Generated,Cross-Modal Aleatoric Analysis: Aligning Indeterminate Graphical Scores and Performance Audio with a Convolutional Recurrent Network
"The classification of microtonal tuning systems from audio signals is a challenging task due to the immense diversity of possible scales. We present a novel approach that eschews precise frequency measurement in favor of analyzing the global geometric structure of pitch relationships. Audio signals are transformed into time-series of chroma vectors, which are then aggregated into a high-dimensional point cloud. We apply techniques from Topological Data Analysis (TDA), specifically persistent homology, to compute a 'topological fingerprint' of this point cloud. The resulting persistence diagram, which captures the lifespan of topological features like loops and voids at different spatial resolutions, serves as a robust, scale-invariant signature. Our experiments demonstrate that this signature can effectively distinguish between various classes of tuning systems—including different equal temperaments, just intonation systems, and non-octave scales—without any prior knowledge of their theoretical construction.",1,models/gemini-2.5-pro,Müzik,Generated,Topological Fingerprinting of Microtonal Systems via Persistent Homology of Chroma Point Clouds
"This study formalizes a computational model of musical expectation grounded in information theory. We move beyond static n-gram models by implementing an adaptive prediction algorithm based on a K-Trie data structure, which dynamically adjusts its context length to optimize predictive accuracy. Trained on a large symbolic corpus of Western tonal music, the model computes the information content (or surprisal) for each event in a novel musical passage. This quantitative measure reflects the cognitive effort required to process an event given the learned statistical regularities of the style. In a series of listening experiments, we found a significant positive correlation between the model's calculated information rate and human subjects' real-time ratings of tension and surprise. This provides strong empirical support for the hypothesis that musical affect is deeply intertwined with the information-theoretic processing of probabilistic melodic structures, validating Leonard Meyer's seminal theories in a quantitative framework.",1,models/gemini-2.5-pro,Müzik,Generated,An Information-Theoretic Approach to Musical Expectation using Adaptive K-Trie Prediction Models
"The identification of recurring contrapuntal schemata in dense Renaissance polyphony is a fundamental yet arduous task in musicology. We present a computational methodology that automates this discovery process using graph-theoretic principles. Each polyphonic excerpt is encoded as a directed acyclic graph where nodes represent notes and edges represent melodic and harmonic intervals, weighted by their rhythmic context. The problem of finding a specific contrapuntal pattern (e.g., an imitative motive) is then cast as a weighted subgraph isomorphism problem. By employing a state-of-the-art constraint-solving algorithm, we can efficiently search a large corpus of motets by composers like Josquin des Prez for instances of a query pattern, including transformations such as inversion and retrograde. The system successfully rediscovers known contrapuntal devices and uncovers previously unannotated structural relationships, demonstrating the efficacy of graph-based representations for scalable, deep analysis of complex polyphonic textures.",1,models/gemini-2.5-pro,Müzik,Generated,Contrapuntal Pattern Discovery in Renaissance Polyphony via Weighted Subgraph Isomorphism
"The accuracy of automated harmonic analysis is often degraded by timbral mixing in complex audio signals. Conversely, source separation can benefit from high-level musical knowledge. We propose a synergistic model that performs both tasks simultaneously within a unified joint optimization framework. Our approach is based on Non-negative Matrix Factorization (NMF) of the audio spectrogram. The framework is constrained by two interconnected priors: a harmonicity prior that encourages source spectra to consist of harmonically related partials, and a music-theoretic prior that biases the temporal activations of sources toward combinations that form coherent chord progressions according to a hidden Markov model (HMM) of tonal syntax. By jointly optimizing the source spectra, their activations, and the underlying chord sequence, our model significantly outperforms pipelined approaches. It achieves cleaner source separation and more accurate chord labeling on dense orchestral and jazz recordings, demonstrating the power of integrating low-level signal processing with high-level musical structure.",1,models/gemini-2.5-pro,Müzik,Generated,Synergistic Source Separation and Harmonic Analysis through Joint Spectrogram Factorization
"We report a loophole-free experimental violation of a Bell inequality tailored for continuous-variable systems. By generating entangled twin beams via parametric down-conversion, we prepare a two-mode squeezed vacuum state distributed between two spatially separated, non-communicating laboratories. High-efficiency homodyne detection is employed to measure quadrature amplitudes, allowing for the reconstruction of the joint phase-space Wigner function, which exhibits significant negativity. The experiment rigorously closes the detection and locality loopholes by ensuring a minimal detection efficiency of 98.7% and enforcing spacelike separation of the measurement events. We evaluate the Clauser-Horne-Shimony-Holt (CHSH)-like inequality generalized for continuous variables, observing a violation of S = 2.51 ± 0.04, which exceeds the classical limit by more than twelve standard deviations. This result provides definitive evidence against local realism in a macroscopic regime and demonstrates a robust platform for quantum communication protocols that rely on continuous-variable entanglement, such as quantum key distribution and teleportation.",1,models/gemini-2.5-pro,Kuantum,Generated,Violation of a Continuous-Variable Bell Inequality with Spatially Separated Squeezed-State Entangled Systems
"The experimental realization of non-Abelian anyons is a principal objective for topological quantum computation. We present theoretical and numerical evidence for the existence of Fibonacci anyons in the ν=12/5 fractional quantum Hall (FQH) state. Using exact diagonalization on a sphere and torus geometry, we analyze the ground state manifold and its low-energy excitations. The resulting quasihole states exhibit the characteristic quantum dimension predicted by the Z_3-parafermion conformal field theory, d = (1+√5)/2. We propose a Fabry-Pérot interferometry experiment to directly probe the non-Abelian braiding statistics. Our transport calculations show that the interference pattern of quasihole currents will exhibit a distinct signature consistent with the Fibonacci fusion rules, τ ⊗ τ = 1 ⊕ τ. This confirmation would not only solidify the ν=12/5 state as a prime candidate for hosting non-Abelian excitations but also pave the way for constructing topologically protected qubits for universal fault-tolerant quantum computing.",1,models/gemini-2.5-pro,Kuantum,Generated,Braiding Statistics of Fibonacci Anyons in a ν=12/5 Fractional Quantum Hall State
"We investigate the holographic duality between a two-site Sachdev-Ye-Kitaev (SYK) model with a deformed quartic coupling and a two-dimensional Jackiw-Teitelboim (JT) gravity theory on a spacetime with an eternal traversable wormhole. By calculating the Rényi and von Neumann entanglement entropies on the boundary quantum system, we demonstrate that the results precisely match the bulk geometry predictions derived from the Ryu-Takayanagi formula. The deformation term in the SYK Hamiltonian corresponds to a specific matter field in the bulk that violates the averaged null energy condition, thereby stabilizing the wormhole throat. Our analysis of the out-of-time-order correlator (OTOC) reveals a suppression of maximal chaos, consistent with the non-trivial causal structure of the traversable wormhole. This work strengthens the ER=EPR conjecture by providing a concrete, calculable model where quantum entanglement dynamics directly construct a persistent bridge in the emergent spacetime geometry, offering insights into the black hole information paradox.",1,models/gemini-2.5-pro,Kuantum,Generated,Holographic Entanglement Entropy and Wormhole Geometry in a Deformed SYK Model
"Achieving the fundamental Heisenberg limit in quantum metrology offers an unparalleled advantage in precision measurement. We propose and analyze a multi-pass interferometric scheme using path-entangled N00N states (|N⟩_a|0⟩_b + |0⟩_a|N⟩_b)/√2 to achieve Heisenberg-limited sensitivity. The protocol involves injecting an N-photon N00N state into an interferometer where one arm accumulates a phase shift φ. By recycling the photons through the interferometer M times, the effective phase shift is amplified to MNφ. We calculate the quantum Fisher information for this protocol, demonstrating that the phase sensitivity δφ scales as 1/(MN), saturating the Heisenberg limit for the total number of resource probes. A detailed analysis of decoherence, particularly photon loss and phase diffusion, indicates that while fragility increases with N and M, a significant quantum advantage remains achievable with current photonic technologies. This protocol has direct applications in gravitational wave detection, magnetometry, and quantum imaging.",1,models/gemini-2.5-pro,Kuantum,Generated,Heisenberg-Limited Phase Estimation via Multi-Pass Interferometry with N00N States
"We theoretically investigate the ground-state phase diagram of a harmonically trapped, two-component Bose-Einstein condensate (BEC) subject to both long-range dipolar interactions and Rashba-Dresselhaus spin-orbit coupling. By solving the coupled Gross-Pitaevskii equations and performing quantum Monte Carlo simulations, we identify a rich phase diagram containing distinct quantum phases. For specific parameter regimes, we report the emergence of a stable supersolid phase, characterized by the simultaneous breaking of U(1) gauge symmetry (superfluidity) and continuous translational symmetry (crystal structure). The supersolid manifests as a lattice of density modulations immersed in a superfluid background. The roton-maxon excitation spectrum, calculated via Bogoliubov-de Gennes analysis, shows a characteristic softening at a finite momentum, heralding the transition from a uniform condensate to the modulated supersolid phase. Our findings provide a concrete roadmap for the experimental realization of this exotic state of matter, bridging condensed matter and quantum gas physics.",1,models/gemini-2.5-pro,Kuantum,Generated,Emergence of a Supersolid Phase in a Dipolar Bose-Einstein Condensate with Spin-Orbit Coupling
"Quantum error correction (QEC) is indispensable for fault-tolerant quantum computing, yet most codes are designed for simple, Markovian noise. We introduce a novel QEC scheme, the Dynamically Decoupled Floquet Code (DDFC), which leverages Floquet engineering to protect a logical qubit against a broad spectrum of non-Markovian noise. The code is defined by a set of time-periodic stabilizer operators derived from a parent stabilizer code, with the periodic driving chosen to dynamically decouple the logical subspace from dominant environmental noise channels. Using a filter-function formalism, we demonstrate that the DDFC can suppress noise up to a high order in the Floquet-Magnus expansion. Numerical simulations of a logical qubit encoded in a five-qubit DDFC subjected to 1/f noise show a coherence time enhancement of over two orders of magnitude compared to its static counterpart and other standard dynamical decoupling sequences. This paradigm offers a promising route towards building resilient quantum memories in realistic solid-state architectures.",1,models/gemini-2.5-pro,Kuantum,Generated,A Dynamically Decoupled Floquet Code for Robust Quantum Memory
"Macroscopic quantum superpositions, or 'Schrödinger cat' states, are crucial for fundamental tests of quantum mechanics and for certain quantum computing architectures. We present a deterministic protocol for generating and verifying multi-photon cat states within a high-Q 3D microwave cavity coupled to a transmon qubit. Operating in the strong dispersive regime of cavity QED, our protocol utilizes a sequence of conditional qubit rotations and cavity displacements to deterministically grow a coherent state into a superposition of two coherent states with opposite phases, |α⟩ ± |-α⟩. We perform full quantum state tomography of the resulting cavity field using Wigner function reconstruction, clearly observing the characteristic interference fringes and negative regions for states up to |α|² ≈ 16. The high fidelity (F > 92%) and scalability of this protocol establish a powerful new tool for quantum state engineering and provide a platform for implementing Gottesman-Kitaev-Preskill (GKP) qubits for hardware-efficient quantum error correction.",1,models/gemini-2.5-pro,Kuantum,Generated,Deterministic Generation and Tomography of Multi-Photon Schrödinger Cat States in a 3D Transmon-Cavity System
"We analyze the performance of a quantum Otto engine whose working medium consists of a two-level system coupled to two squeezed thermal reservoirs. Our analysis, conducted within a completely positive and trace-preserving (CPTP) map formalism, goes beyond the quasi-static limit to explore far-from-equilibrium operation. We demonstrate that the quantum coherence injected by the squeezed baths acts as a thermodynamic resource. Specifically, the engine can achieve efficiencies exceeding the classical Carnot limit for an equivalent engine operating between standard thermal baths at the same effective temperatures. This efficiency enhancement is directly correlated with the degree of squeezing and the non-zero quantum discord established between the system and the baths. Furthermore, we find a fundamental trade-off between power output and efficiency, identifying optimal operating cycles that maximize power for a given efficiency bound. This work elucidates the non-trivial role of quantum coherence in non-equilibrium thermodynamics.",1,models/gemini-2.5-pro,Kuantum,Generated,Coherence-Fueled Quantum Otto Engine Operating Far from Equilibrium
"Entanglement is a fragile resource, known to degrade for observers in non-inertial reference frames due to the Unruh effect. We investigate the dynamics of a maximally entangled Bell state shared between an inertial observer, Alice, and a uniformly accelerated observer, Rob. The Unruh thermal noise experienced by Rob transforms the quantum channel into a depolarizing and dissipative one, leading to entanglement sudden death at a finite acceleration. Here, we propose a protocol to counteract this degradation. By characterizing the Bogoliubov transformation that links the Minkowski vacuum to the Rindler vacuum, we model the Unruh effect as a specific quantum channel. We then construct a pre-compensating unitary operation that Alice can apply to her qubit before Rob's acceleration begins. This operation effectively 'inverts' the future effects of the Unruh channel, allowing for the perfect preservation of a specific entangled state for any finite acceleration. This demonstrates a principle of relativistic quantum state protection.",1,models/gemini-2.5-pro,Kuantum,Generated,Preservation of Bipartite Entanglement for Accelerated Observers via Unruh Channel Inversion
"The correspondence between classical chaos and quantum mechanics is a foundational question, often probed via the spectral statistics of quantum systems. We investigate the signatures of quantum chaos in a periodically driven quantum kicked rotor model, realized with a Bose-Einstein condensate in a pulsed optical lattice, where time-reversal symmetry is explicitly broken by a synthetic gauge field. By numerically diagonalizing the Floquet operator, we analyze the level spacing distribution of the quasi-energy spectrum. We observe a clear transition in the spectral statistics from a Poissonian distribution, characteristic of an integrable system, to a Wigner-Dyson distribution of the Gaussian Unitary Ensemble (GUE) as the kicking strength is increased beyond a critical threshold. This transition provides unambiguous evidence for the onset of quantum chaos. The results are universal and independent of microscopic details, confirming predictions from random matrix theory and establishing ultracold atoms as a highly tunable platform for studying quantum chaology.",1,models/gemini-2.5-pro,Kuantum,Generated,Spectral Statistics Transition in a Driven Floquet System with Synthetic Gauge Fields
"This paper addresses the challenge of estimating the average treatment effect (ATE) in high-dimensional settings where confounding variables are numerous. We introduce a doubly robust and debiased machine learning framework that leverages Neyman-orthogonal moments to mitigate regularization bias and model mis-specification. Our proposed method employs a cross-fitting procedure, utilizing flexible machine learning algorithms like LASSO or random forests to estimate the nuisance functions—the conditional outcome and propensity score models. By constructing an orthogonalized moment condition, our estimator for the ATE remains consistent and asymptotically normal even when the nuisance function estimators converge at slower, non-parametric rates. We establish the semiparametric efficiency of our estimator under mild sparsity assumptions on the underlying linear models. Extensive Monte Carlo simulations demonstrate superior finite-sample performance, achieving nominal coverage probabilities for confidence intervals where other high-dimensional methods fail. The methodology is applied to a genomic dataset to estimate the causal effect of a gene expression on a clinical phenotype.",1,models/gemini-2.5-pro,İstatistik,Generated,Debiased Machine Learning for Causal Inference in High-Dimensional Partially Linear Models
"We propose a novel Bayesian nonparametric framework for clustering functional data, addressing the geometric complexities of function spaces. The method models the distribution of functions as a Dirichlet Process Mixture Model where the base measure is defined on a space of probability measures, equipped with the Wasserstein metric. This Wasserstein-Dirichlet Process Mixture (WDPM) naturally accommodates variations in both amplitude and phase (warping) by clustering the distributions of functional observations rather than the functions themselves. The stick-breaking construction of the Dirichlet Process is adapted to this metric space setting. We derive theoretical results concerning the posterior contraction rates, demonstrating that our model achieves optimal rates for density estimation in the Wasserstein space. An efficient Markov Chain Monte Carlo (MCMC) algorithm is developed for posterior inference, utilizing a Gibbs sampler with an embedded slice sampler for the infinite-dimensional random measure. The superiority of our approach is demonstrated on synthetic data and real-world applications in proteomics and electrocardiogram signal analysis.",1,models/gemini-2.5-pro,İstatistik,Generated,Bayesian Nonparametric Clustering of Functional Data via Wasserstein-Dirichlet Process Mixtures
"Topological Data Analysis (TDA) provides powerful tools for characterizing the shape of data, yet rigorous statistical inference on topological features remains a nascent field. This paper introduces a comprehensive framework for constructing confidence regions for persistent homology features. We represent topological summaries as persistence diagrams and embed them in a separable Hilbert space to define a Fréchet mean and variance. Our primary contribution is a multi-scale bootstrap procedure that correctly accounts for the complex dependence structure between persistence points, enabling the construction of valid confidence sets for Betti numbers at different scales. We prove the asymptotic validity of our bootstrap confidence regions under general conditions on the underlying data-generating process. The method is computationally feasible and robust to topological noise. Through simulations, we show our method provides superior coverage compared to existing subspace and permutation-based tests. We apply the framework to a cosmological dataset to test for the significance of filamentary structures in the cosmic web.",1,models/gemini-2.5-pro,İstatistik,Generated,A Statistical Framework for Inference on Persistent Homology using Multi-scale Bootstrap
